  step,            time,            ax,            ay,            az,            bx,            by,            bz,            cx,            cy,            cz,             a,             b,             c
            1,  0.499000E+00,  0.206638E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.206638E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.206638E+02,  0.206638E+02,  0.206638E+02,  0.206638E+02
            2,  0.999000E+00,  0.205461E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.205461E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.205461E+02,  0.205461E+02,  0.205461E+02,  0.205461E+02
            3,  0.149900E+01,  0.204134E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.204134E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.204134E+02,  0.204134E+02,  0.204134E+02,  0.204134E+02
            4,  0.199900E+01,  0.204495E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.204495E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.204495E+02,  0.204495E+02,  0.204495E+02,  0.204495E+02
            5,  0.249900E+01,  0.204879E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.204879E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.204879E+02,  0.204879E+02,  0.204879E+02,  0.204879E+02
            6,  0.299900E+01,  0.207796E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207796E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207796E+02,  0.207796E+02,  0.207796E+02,  0.207796E+02
            7,  0.349900E+01,  0.208547E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208547E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208547E+02,  0.208547E+02,  0.208547E+02,  0.208547E+02
            8,  0.399900E+01,  0.208658E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208658E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208658E+02,  0.208658E+02,  0.208658E+02,  0.208658E+02
            9,  0.449900E+01,  0.205277E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.205277E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.205277E+02,  0.205277E+02,  0.205277E+02,  0.205277E+02
           10,  0.499900E+01,  0.205607E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.205607E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.205607E+02,  0.205607E+02,  0.205607E+02,  0.205607E+02
           11,  0.549900E+01,  0.205005E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.205005E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.205005E+02,  0.205005E+02,  0.205005E+02,  0.205005E+02
           12,  0.599900E+01,  0.206927E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.206927E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.206927E+02,  0.206927E+02,  0.206927E+02,  0.206927E+02
           13,  0.649900E+01,  0.208684E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208684E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208684E+02,  0.208684E+02,  0.208684E+02,  0.208684E+02
           14,  0.699900E+01,  0.209220E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209220E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209220E+02,  0.209220E+02,  0.209220E+02,  0.209220E+02
           15,  0.749900E+01,  0.207716E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207716E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207716E+02,  0.207716E+02,  0.207716E+02,  0.207716E+02
           16,  0.799900E+01,  0.205728E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.205728E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.205728E+02,  0.205728E+02,  0.205728E+02,  0.205728E+02
           17,  0.849900E+01,  0.205392E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.205392E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.205392E+02,  0.205392E+02,  0.205392E+02,  0.205392E+02
           18,  0.899900E+01,  0.205078E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.205078E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.205078E+02,  0.205078E+02,  0.205078E+02,  0.205078E+02
           19,  0.949900E+01,  0.207291E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207291E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207291E+02,  0.207291E+02,  0.207291E+02,  0.207291E+02
           20,  0.999900E+01,  0.209286E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209286E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209286E+02,  0.209286E+02,  0.209286E+02,  0.209286E+02
           21,  0.104990E+02,  0.209199E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209199E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209199E+02,  0.209199E+02,  0.209199E+02,  0.209199E+02
           22,  0.109990E+02,  0.207559E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207559E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207559E+02,  0.207559E+02,  0.207559E+02,  0.207559E+02
           23,  0.114990E+02,  0.207524E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207524E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207524E+02,  0.207524E+02,  0.207524E+02,  0.207524E+02
           24,  0.119990E+02,  0.206986E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.206986E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.206986E+02,  0.206986E+02,  0.206986E+02,  0.206986E+02
           25,  0.124990E+02,  0.208077E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208077E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208077E+02,  0.208077E+02,  0.208077E+02,  0.208077E+02
           26,  0.129990E+02,  0.208220E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208220E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208220E+02,  0.208220E+02,  0.208220E+02,  0.208220E+02
           27,  0.134990E+02,  0.209239E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209239E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209239E+02,  0.209239E+02,  0.209239E+02,  0.209239E+02
           28,  0.139990E+02,  0.209007E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209007E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209007E+02,  0.209007E+02,  0.209007E+02,  0.209007E+02
           29,  0.144990E+02,  0.207640E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207640E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207640E+02,  0.207640E+02,  0.207640E+02,  0.207640E+02
           30,  0.149990E+02,  0.206746E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.206746E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.206746E+02,  0.206746E+02,  0.206746E+02,  0.206746E+02
           31,  0.154990E+02,  0.206299E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.206299E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.206299E+02,  0.206299E+02,  0.206299E+02,  0.206299E+02
           32,  0.159990E+02,  0.206232E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.206232E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.206232E+02,  0.206232E+02,  0.206232E+02,  0.206232E+02
           33,  0.164990E+02,  0.208159E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208159E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208159E+02,  0.208159E+02,  0.208159E+02,  0.208159E+02
           34,  0.169990E+02,  0.208490E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208490E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208490E+02,  0.208490E+02,  0.208490E+02,  0.208490E+02
           35,  0.174990E+02,  0.209184E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209184E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209184E+02,  0.209184E+02,  0.209184E+02,  0.209184E+02
           36,  0.179990E+02,  0.207879E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207879E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207879E+02,  0.207879E+02,  0.207879E+02,  0.207879E+02
           37,  0.184990E+02,  0.207457E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207457E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207457E+02,  0.207457E+02,  0.207457E+02,  0.207457E+02
           38,  0.189990E+02,  0.207022E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207022E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207022E+02,  0.207022E+02,  0.207022E+02,  0.207022E+02
           39,  0.194990E+02,  0.208018E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208018E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208018E+02,  0.208018E+02,  0.208018E+02,  0.208018E+02
           40,  0.199990E+02,  0.207998E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207998E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207998E+02,  0.207998E+02,  0.207998E+02,  0.207998E+02
           41,  0.204990E+02,  0.209567E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209567E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209567E+02,  0.209567E+02,  0.209567E+02,  0.209567E+02
           42,  0.209990E+02,  0.209464E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209464E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209464E+02,  0.209464E+02,  0.209464E+02,  0.209464E+02
           43,  0.214990E+02,  0.207379E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207379E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207379E+02,  0.207379E+02,  0.207379E+02,  0.207379E+02
           44,  0.219990E+02,  0.207555E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207555E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207555E+02,  0.207555E+02,  0.207555E+02,  0.207555E+02
           45,  0.224990E+02,  0.206821E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.206821E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.206821E+02,  0.206821E+02,  0.206821E+02,  0.206821E+02
